step,epoch,elapsed_s,R_hat,lr
10,1,3.815,305.60875512,0.001
20,1,7.407,256.25908952,0.001
30,1,10.950,224.95683523,0.001
40,1,14.383,197.18053439,0.001
50,1,17.811,165.33650499,0.001
60,1,21.255,163.02506102,0.001
70,1,24.821,141.08031223,0.001
80,1,28.274,120.26477991,0.001
90,1,31.648,148.81378400,0.001
100,1,35.034,147.00190992,0.001
110,1,38.577,108.19635480,0.001
120,1,42.070,119.42348422,0.001
130,1,45.521,127.77004080,0.001
140,1,48.954,126.30708537,0.001
150,1,52.349,99.75955727,0.001
160,1,55.861,108.89062517,0.001
170,1,59.471,138.06772798,0.001
180,1,62.892,116.05662831,0.001
190,1,66.443,115.31289660,0.001
200,1,70.057,144.58163611,0.001
